# -*- fill-column: 79 -*-
#
# This file contains named palettes that can be specified to "bleopt
# colorglass_base16_palette".  The first column is the name of the palette.
# The next 16 values ($2..$17) provides the codes of the basic 16 colors.  $18
# and $19 is the default foreground and background colors, and $20 is the
# cursor color, if available.

# https://github.com/akinomyoga/contra
Arthur                         0x3d352a 0xcd5c5c 0x86af80 0xe8ae5b 0x6495ed 0xdeb887 0xb0c4de 0xbbaa99 0x554444 0xcc5533 0x88aa22 0xffa75d 0x87ceeb 0x996600 0xb0c4de 0xddccbb 0xddeedd 0x1c1c1c 0xe2bbef
AtelierSulphurpool             0x202746 0xc94922 0xac9739 0xc08b30 0x3d8fd1 0x6679cc 0x22a2c9 0x979db4 0x6b7394 0xc76b29 0x4f587c 0x5e6687 0x898ea4 0xdfe2f1 0x9c637a 0xf5f7ff 0x979db4 0x202746 0x979db4
AtlasRagnarok                  0x000000 0xff8080 0x99ffe4 0x2563eb 0xa0a0a0 0x3b82f6 0x99ffe4 0xffffff 0x505050 0xff9999 0xb3ffe4 0x60a5fa 0xb0b0b0 0x93c5fd 0x99ffe4 0xffffff 0xffffff 0x000000 0x3b82f6
Atom                           0x000000 0xfd5ff1 0x87c38a 0xffd7b1 0x85befd 0xb9b6fc 0x85befd 0xe0e0e0 0x4c4c4c 0xfd5ff1 0x94fa36 0xf5ffa8 0x96cbfe 0xb9b6fc 0x85befd 0xe0e0e0 0xc5c8c6 0x161719 0xd0d0d0
AtomOneDark                    0x21252b 0xe06c75 0x98c379 0xe5c07b 0x61afef 0xc678dd 0x56b6c2 0xabb2bf 0x767676 0xe06c75 0x98c379 0xe5c07b 0x61afef 0xc678dd 0x56b6c2 0xabb2bf 0xabb2bf 0x21252b 0xabb2bf
AtomOneLight                   0x000000 0xde3e35 0x3f953a 0xd2b67c 0x2f5af3 0x950095 0x3f953a 0xbbbbbb 0x000000 0xde3e35 0x3f953a 0xd2b67c 0x2f5af3 0xa00095 0x3f953a 0xffffff 0x2a2c33 0xf9f9f9 0xbbbbbb
Aubade                         0x33293f 0xc0303a 0x2e7d6e 0x8c610c 0x4a3cc0 0x8a4bc0 0xae3f84 0xb2b2b2 0x9a8fa8 0xc0303a 0x2e7d6e 0xae3f84 0x4a3cc0 0xd8b670 0xae3f84 0x3a3340 0x3a3340 0xfbf6fb 0xae3f84
Aura                           0x110f18 0xff6767 0x61ffca 0xffca85 0xa277ff 0xa277ff 0x61ffca 0xedecee 0x4d4d4d 0xffca85 0xa277ff 0xffca85 0xa277ff 0xa277ff 0x61ffca 0xedecee 0xedecee 0x15141b 0xa277ff
AuraDark                       0x15141b 0xff6767 0x61ffca 0xffca85 0xa277ff 0x61ffca 0xa277ff 0xcdccce 0x464646 0xffca85 0xa277ff 0xffca85 0xa277ff 0x61ffca 0x61ffca 0xedecee 0xcdccce 0x15141b 0xa277ff
Aurora                         0x23262e 0xf0266f 0x8fd46d 0xffe66d 0x102ee4 0xee5d43 0x03d6b8 0xc74ded 0x4f545e 0xf92672 0x8fd46d 0xffe66d 0x03d6b8 0xee5d43 0x03d6b8 0xc74ded 0xffca28 0x23262e 0xee5d43
